Index,Survey ID,Eater Type,"Motivation
Animal Protection","Motivation
Concern for the Environment","Motivation
Cost","Motivation
Health","Motivation
Religious or Spiritual Beliefs","Motivation
Social influence (from friends, family, significant other, etc.)","Motivation
Social justice or world hunger","Motivation
Taste preferences","Motivation
Wanting to follow a food trend","Motivation
Feelings of disgust about meat",Age Transitioned to Veg'nism,Gender,State,Education,Political,Race/Ethnicity,Religion
191,1549,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,35,Female,California,Bachelor’s degree,Neutral/Centrist,African American or Black,"Christian (Catholic, Protestant, etc.)"
192,1571,Omnivore,,,,,,,,,,,,Female,Utah,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
193,1573,Omnivore,,,,,,,,,,,,Female,Pennsylvania,Graduate or professional degree,Moderately Liberal,White,Other religion (including two or more)
194,1575,Omnivore,,,,,,,,,,,,Male,Michigan,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
195,1583,Omnivore,,,,,,,,,,,,Female,North Carolina,Bachelor’s degree,Strongly Conservative,White,Jewish
196,1601,Omnivore,,,,,,,,,,,,Female,Mississippi,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
197,1620,Omnivore,,,,,,,,,,,,Male,California,Bachelor’s degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
198,1630,Omnivore,,,,,,,,,,,,Female,West Virginia,"Some education after high school, no degree",Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
199,1661,Omnivore,,,,,,,,,,,,Female,Colorado,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
200,1665,Omnivore,,,,,,,,,,,,Male,North Carolina,Bachelor’s degree,Moderately Liberal,White,Jewish
201,1668,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
202,1685,Vegetarian,Somewhat,Somewhat,Very Strong,Very Strong,Somewhat,Somewhat,Somewhat,Strong,Mild,Somewhat,27,Male,California,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
203,1688,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Strongly Liberal,White,Other religion (including two or more)
204,1705,Omnivore,,,,,,,,,,,,Male,Minnesota,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
205,1708,Omnivore,,,,,,,,,,,,Female,Iowa,Graduate or professional degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
206,1711,Omnivore,,,,,,,,,,,,Male,Montana,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
207,1722,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
208,1728,Omnivore,,,,,,,,,,,,Female,Georgia,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
209,1743,Omnivore,,,,,,,,,,,,Female,Massachusetts,Graduate or professional degree,Strongly Liberal,White,Jewish
210,1748,Omnivore,,,,,,,,,,,,Female,West Virginia,High school diploma (or equivalent),Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
211,1749,Omnivore,,,,,,,,,,,,Female,Texas,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
212,1755,Omnivore,,,,,,,,,,,,Female,New Mexico,"Some education after high school, no degree",Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
213,1761,Omnivore,,,,,,,,,,,,Female,Oregon,Bachelor’s degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
214,1768,Omnivore,,,,,,,,,,,,Female,Indiana,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
215,1770,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Strongly Liberal,African American or Black,Do not actively practice a religion
216,1775,Omnivore,,,,,,,,,,,,Female,Texas,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
217,1801,Omnivore,,,,,,,,,,,,Female,Pennsylvania,Bachelor’s degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
218,1808,Omnivore,,,,,,,,,,,,Female,Indiana,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
219,1817,Omnivore,,,,,,,,,,,,Female,Kentucky,Associate’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
220,1823,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,38,Female,California,Bachelor’s degree,Neutral/Centrist,"Hispanic, Latino, or Spanish origin","Christian (Catholic, Protestant, etc.)"
221,1831,Omnivore,,,,,,,,,,,,Female,Texas,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
222,1855,Omnivore,,,,,,,,,,,,Female,Wyoming,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
223,1857,Omnivore,,,,,,,,,,,,Female,Minnesota,Graduate or professional degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
224,1879,Omnivore,,,,,,,,,,,,Female,Pennsylvania,High school diploma (or equivalent),Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
225,1888,Omnivore,,,,,,,,,,,,Female,Connecticut,"Some education after high school, no degree",Moderately Liberal,White,Do not actively practice a religion
226,1890,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Neutral/Centrist,White,Jewish
227,1894,Omnivore,,,,,,,,,,,,Female,Puerto Rico,High school diploma (or equivalent),Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
228,1914,Vegetarian,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,21,Female,California,"Some education after high school, no degree",Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
229,1915,Omnivore,,,,,,,,,,,,Female,Arizona,High school diploma (or equivalent),Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
231,1926,Omnivore,,,,,,,,,,,,Female,North Carolina,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
232,1927,Vegetarian,Somewhat,Somewhat,Very Strong,Very Strong,Somewhat,Somewhat,Somewhat,Strong,Mild,Somewhat,28,Other,Pennsylvania,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
233,1929,Omnivore,,,,,,,,,,,,Female,Hawaii,Bachelor’s degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
234,1941,Omnivore,,,,,,,,,,,,Female,Hawaii,Associate’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
235,1959,Omnivore,,,,,,,,,,,,Female,Wyoming,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
236,1968,Omnivore,,,,,,,,,,,,Female,Minnesota,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
237,1971,Omnivore,,,,,,,,,,,,Female,North Carolina,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
238,1992,Omnivore,,,,,,,,,,,,Female,Arizona,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
239,2024,Omnivore,,,,,,,,,,,,Male,California,Bachelor’s degree,Moderately Conservative,White,Do not actively practice a religion
240,2027,Omnivore,,,,,,,,,,,,Female,Virginia,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
241,2063,Omnivore,,,,,,,,,,,,Male,Michigan,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
242,2064,Omnivore,,,,,,,,,,,,Male,Tennessee,Associate’s degree,Neutral/Centrist,White,Other religion (including two or more)
243,2066,Omnivore,,,,,,,,,,,,Female,Georgia,Associate’s degree,Neutral/Centrist,White,Do not actively practice a religion
244,2072,Vegetarian,Very Strong,Very Strong,Not at All,Very Strong,Strong,Mild,Very Strong,Somewhat,Not at All,Not at All,15,Female,Montana,Graduate or professional degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
245,2079,Omnivore,,,,,,,,,,,,Male,New Mexico,Associate’s degree,Neutral/Centrist,Other race/ethnicity (including two or more),Hindu
246,2086,Omnivore,,,,,,,,,,,,Female,Pennsylvania,Graduate or professional degree,Neutral/Centrist,Other race/ethnicity (including two or more),Do not actively practice a religion
247,2091,Omnivore,,,,,,,,,,,,Female,New York,"Some education after high school, no degree",Moderately Liberal,White,Do not actively practice a religion
248,2100,Omnivore,,,,,,,,,,,,Female,North Carolina,"Some education after high school, no degree",Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
249,2105,Omnivore,,,,,,,,,,,,Female,Massachusetts,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
250,2106,Omnivore,,,,,,,,,,,,Female,Iowa,High school diploma (or equivalent),Strongly Conservative,White,Do not actively practice a religion
252,2121,Omnivore,,,,,,,,,,,,Male,Puerto Rico,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
253,2130,Omnivore,,,,,,,,,,,,Male,Indiana,Graduate or professional degree,Moderately Conservative,White,Jewish
254,2168,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
255,2177,Omnivore,,,,,,,,,,,,Female,Alaska,Graduate or professional degree,Neutral/Centrist,Other race/ethnicity (including two or more),Other religion (including two or more)
256,2183,Omnivore,,,,,,,,,,,,Female,Michigan,Bachelor’s degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)",Do not actively practice a religion
257,2189,Vegetarian,Very Strong,Strong,Somewhat,Very Strong,Not at All,Mild,Very Strong,Strong,Mild,Very Strong,21,Female,Colorado,Bachelor’s degree,Strongly Liberal,White,Other religion (including two or more)
258,2198,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,27,Female,South Dakota,"Some education after high school, no degree",Moderately Liberal,White,Do not actively practice a religion
259,2222,Omnivore,,,,,,,,,,,,Female,Washington,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
260,2223,Omnivore,,,,,,,,,,,,Female,West Virginia,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
261,2224,Vegan,Very Strong,Strong,Somewhat,Very Strong,Not at All,Mild,Very Strong,Strong,Mild,Very Strong,63,Male,Puerto Rico,"Some education after high school, no degree",Strongly Liberal,White,Other religion (including two or more)
262,2229,Vegetarian,Very Strong,Very Strong,Not at All,Very Strong,Strong,Mild,Very Strong,Somewhat,Not at All,Not at All,56,Male,Puerto Rico,Graduate or professional degree,Moderately Liberal,White,Other religion (including two or more)
263,2246,Omnivore,,,,,,,,,,,,Female,Georgia,High school diploma (or equivalent),Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
264,2256,Omnivore,,,,,,,,,,,,Male,Alabama,Graduate or professional degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
265,2260,Omnivore,,,,,,,,,,,,Male,North Carolina,Graduate or professional degree,Strongly Liberal,White,Jewish
266,2265,Omnivore,,,,,,,,,,,,Female,Oregon,Associate’s degree,Strongly Liberal,White,Do not actively practice a religion
267,2266,Omnivore,,,,,,,,,,,,Female,North Carolina,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
268,2281,Omnivore,,,,,,,,,,,,Male,Puerto Rico,"Some education after high school, no degree",Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
269,2289,Omnivore,,,,,,,,,,,,Female,Indiana,"Some education after high school, no degree",Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
270,2302,Omnivore,,,,,,,,,,,,Female,Oklahoma,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
271,2314,Omnivore,,,,,,,,,,,,Male,Texas,Associate’s degree,Strongly Conservative,White,Do not actively practice a religion
272,2332,Omnivore,,,,,,,,,,,,Male,Georgia,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
273,2344,Vegetarian,Strong,Strong,Somewhat,Strong,Not at All,Strong,Strong,Somewhat,Strong,Not at All,21,Female,West Virginia,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
274,2347,Omnivore,,,,,,,,,,,,Female,New Hampshire,Associate’s degree,Moderately Liberal,White,Do not actively practice a religion
275,2349,Omnivore,,,,,,,,,,,,Male,South Carolina,Graduate or professional degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
276,2360,Omnivore,,,,,,,,,,,,Female,Georgia,"Some education after high school, no degree",Moderately Liberal,White,Do not actively practice a religion
277,2392,Vegetarian,Not at All,Not at All,Strong,Strong,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,36,Female,North Carolina,Associate’s degree,Strongly Liberal,White,Other religion (including two or more)
278,2397,Omnivore,,,,,,,,,,,,Male,Puerto Rico,Bachelor’s degree,Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
279,2403,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,14,Female,Mississippi,Graduate or professional degree,Strongly Liberal,White,Buddhist
280,2406,Omnivore,,,,,,,,,,,,Female,Wyoming,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
281,2410,Omnivore,,,,,,,,,,,,Female,California,Associate’s degree,Neutral/Centrist,White,Jewish
282,2418,Omnivore,,,,,,,,,,,,Female,Oklahoma,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
283,2419,Omnivore,,,,,,,,,,,,Female,South Dakota,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
284,2421,Omnivore,,,,,,,,,,,,Female,Washington,Graduate or professional degree,Strongly Liberal,White,Other religion (including two or more)
285,2444,Vegetarian,Very Strong,Strong,Somewhat,Very Strong,Not at All,Mild,Very Strong,Strong,Mild,Very Strong,13,Female,Colorado,Bachelor’s degree,Strongly Liberal,Other race/ethnicity (including two or more),Do not actively practice a religion
286,2466,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
287,2475,Omnivore,,,,,,,,,,,,Male,Alabama,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
288,2476,Omnivore,,,,,,,,,,,,Female,Kentucky,Graduate or professional degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
289,2481,Omnivore,,,,,,,,,,,,Male,West Virginia,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
290,2485,Omnivore,,,,,,,,,,,,Female,West Virginia,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
291,2496,Omnivore,,,,,,,,,,,,Female,West Virginia,Associate’s degree,Moderately Liberal,White,Do not actively practice a religion
292,2497,Omnivore,,,,,,,,,,,,Female,Massachusetts,Graduate or professional degree,Neutral/Centrist,White,Jewish
293,2502,Omnivore,,,,,,,,,,,,Male,North Carolina,Bachelor’s degree,Strongly Liberal,African American or Black,Do not actively practice a religion
294,2505,Omnivore,,,,,,,,,,,,Female,Minnesota,Graduate or professional degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
295,2507,Omnivore,,,,,,,,,,,,Male,Pennsylvania,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
296,2513,Omnivore,,,,,,,,,,,,Female,Washington,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
297,2518,Omnivore,,,,,,,,,,,,Male,Georgia,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
298,2531,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
299,2540,Omnivore,,,,,,,,,,,,Male,West Virginia,High school diploma (or equivalent),Moderately Conservative,White,Do not actively practice a religion
301,2554,Vegetarian,Somewhat,Somewhat,Very Strong,Very Strong,Somewhat,Somewhat,Somewhat,Strong,Mild,Somewhat,22,Female,Georgia,Bachelor’s degree,Moderately Liberal,"Hispanic, Latino, or Spanish origin","Christian (Catholic, Protestant, etc.)"
302,2556,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Graduate or professional degree,Moderately Liberal,White,Other religion (including two or more)
303,2558,Omnivore,,,,,,,,,,,,Female,Georgia,"Some education after high school, no degree",Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
305,2565,Omnivore,,,,,,,,,,,,Female,Massachusetts,Graduate or professional degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)",Do not actively practice a religion
306,2589,Omnivore,,,,,,,,,,,,Female,North Carolina,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
307,2607,Omnivore,,,,,,,,,,,,Male,Texas,High school diploma (or equivalent),Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
